name,euc_dist,L1_dist,X2_distance,histogram_similarity,hellinger_kernel
bbdd_00256.pkl-bbdd_00010.pkl,0.07005318,0.7792194,122.77752,0.6103903,0.8664951
bbdd_00256.pkl-bbdd_00029.pkl,0.07501156,0.9300341,133.4112,0.5349829,0.8240186
bbdd_00256.pkl-bbdd_00140.pkl,0.057831034,0.658942,89.03259,0.670529,0.9138319
bbdd_00256.pkl-bbdd_00081.pkl,0.07654219,0.9602003,127.07065,0.51989985,0.8510086
bbdd_00256.pkl-bbdd_00105.pkl,0.065289356,0.7666594,136.22427,0.6166703,0.8843924
bbdd_00256.pkl-bbdd_00273.pkl,0.10709291,1.2945689,153.6407,0.35271555,0.69823956
bbdd_00256.pkl-bbdd_00248.pkl,0.084173426,1.0786421,130.37141,0.4606789,0.8162956
bbdd_00256.pkl-bbdd_00155.pkl,0.051161442,0.51108587,95.420944,0.74445707,0.9513327
bbdd_00256.pkl-bbdd_00138.pkl,0.05438864,0.60098195,105.65668,0.699509,0.92776626
bbdd_00256.pkl-bbdd_00189.pkl,0.12811479,1.3552196,142.05508,0.3223902,0.63963026
bbdd_00256.pkl-bbdd_00227.pkl,0.07191882,0.75554156,101.347824,0.6222293,0.88025385
bbdd_00256.pkl-bbdd_00057.pkl,0.045218237,0.52428836,91.15727,0.7378558,0.94577336
bbdd_00256.pkl-bbdd_00080.pkl,0.06614839,0.76438063,173.8498,0.61780965,0.8725275
bbdd_00256.pkl-bbdd_00034.pkl,0.05813345,0.70351094,111.193405,0.6482445,0.900664
bbdd_00256.pkl-bbdd_00119.pkl,0.08871317,1.0785046,132.63861,0.46074772,0.79077864
bbdd_00256.pkl-bbdd_00101.pkl,0.093357176,0.9994959,154.22427,0.500252,0.81245244
bbdd_00256.pkl-bbdd_00210.pkl,0.07120472,0.8004002,130.21219,0.5997999,0.87510026
bbdd_00256.pkl-bbdd_00073.pkl,0.08285985,0.8943056,123.45904,0.5528472,0.82309216
bbdd_00256.pkl-bbdd_00024.pkl,0.12773442,1.4758732,183.20447,0.26206338,0.6346147
bbdd_00256.pkl-bbdd_00193.pkl,0.080975614,1.0033021,136.85645,0.49834892,0.8123864
bbdd_00256.pkl-bbdd_00264.pkl,0.08900316,0.89079475,149.65442,0.5546026,0.83620334
bbdd_00256.pkl-bbdd_00066.pkl,0.09106335,1.0466727,155.37086,0.47666362,0.76975036
bbdd_00256.pkl-bbdd_00110.pkl,0.08274394,0.82263094,153.47253,0.5886845,0.86946
bbdd_00256.pkl-bbdd_00022.pkl,0.090303324,1.0183704,169.26465,0.49081483,0.76952887
bbdd_00256.pkl-bbdd_00217.pkl,0.07115481,0.90103215,125.766045,0.5494839,0.86916447
bbdd_00256.pkl-bbdd_00113.pkl,0.065213144,0.7668247,110.11591,0.61658764,0.8902861
bbdd_00256.pkl-bbdd_00163.pkl,0.06877349,0.77967715,99.55238,0.6101614,0.8834437
bbdd_00256.pkl-bbdd_00278.pkl,0.105656676,1.3573297,171.37576,0.3213351,0.6930532
bbdd_00256.pkl-bbdd_00276.pkl,0.060892027,0.7209006,106.05496,0.63954973,0.9041678
bbdd_00256.pkl-bbdd_00204.pkl,0.13220091,1.6226821,176.0639,0.18865903,0.4853294
