Ground Truth,K=1 Result,K=5 Results
[236],[1],"[1, 236, 184, 205, 93]"
[107],[107],"[107, 25, 93, 92, 22]"
"[280, 285]","[1, 92]","[[1, 194, 165, 97, 184], [92, 285, 202, 22, 110]]"
[259],[259],"[259, 92, 246, 202, 110]"
[86],[86],"[86, 50, 93, 92, 22]"
"[94, 132]","[132, 94]","[[132, 202, 91, 215, 124], [94, 202, 92, 185, 124]]"
"[258, 35]","[1, 1]","[[1, 165, 184, 18, 108], [1, 35, 194, 165, 97]]"
"[258, 35]","[258, 35]","[[258, 108, 1, 165, 18], [35, 165, 108, 1, 97]]"
"[104, 130]","[1, 130]","[[1, 184, 194, 165, 108], [130, 184, 1, 194, 202]]"
[131],[92],"[92, 110, 246, 22, 202]"
[282],[124],"[124, 282, 53, 246, 254]"
"[199, 34]","[199, 34]","[[199, 8, 128, 74, 254], [34, 74, 8, 128, 1]]"
"[53, 124]","[53, 124]","[[53, 254, 124, 238, 128], [124, 254, 53, 238, 128]]"
[28],[28],"[28, 124, 282, 53, 254]"
[260],[260],"[260, 53, 124, 1, 8]"
[215],[215],"[215, 202, 51, 22, 92]"
[163],[1],"[1, 184, 163, 202, 22]"
[25],[25],"[25, 92, 22, 93, 246]"
[30],[30],"[30, 172, 267, 256, 25]"
"[176, 128]","[176, 254]","[[176, 1, 22, 25, 107], [254, 240, 238, 128, 53]]"
[110],[110],"[110, 92, 246, 254, 202]"
[7],[7],"[7, 1, 194, 184, 16]"
[251],[251],"[251, 25, 93, 107, 176]"
[183],[183],"[183, 67, 1, 194, 36]"
[179],[74],"[74, 219, 53, 1, 238]"
[270],[36],"[36, 52, 270, 165, 1]"
[93],[93],"[93, 92, 50, 22, 246]"
[200],[200],"[200, 25, 93, 92, 1]"
[161],[161],"[161, 1, 184, 255, 93]"
"[182, 252]","[1, 1]","[[1, 182, 194, 186, 97], [1, 92, 252, 93, 202]]"
